tipo,codigo
credito,2-4-25-24-01-00
credito,2-4-25-35-00-00
credito,2-4-25-23-03-00
credito,2-4-25-35-00-00
credito,2-4-25-22-01-00
credito,2-4-25-21-01-00
credito,2-4-25-18-02-00
credito,2-4-25-18-02-00
credito,2-4-25-18-02-00
credito,2-4-25-18-02-00
credito,2-4-25-35-00-00
credito,2-4-25-35-00-00
credito,2-4-25-22-01-00
credito,2-4-25-23-03-00
credito,2-4-25-23-03-00
credito,2-4-25-23-03-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-21-01-00
credito,2-4-25-21-01-00
credito,2-4-25-35-00-00
credito,2-4-25-35-00-00
credito,2-4-25-22-01-00
credito,2-4-25-24-01-00
credito,2-4-25-24-01-00
credito,2-4-25-21-01-00
credito,2-4-25-24-01-00
credito,5-1-01-30-01-00
credito,2-4-25-24-01-00
credito,2-4-25-23-03-00
credito,2-4-25-21-01-00
credito,2-4-25-23-03-00
credito,2-4-25-24-01-00
credito,2-4-55-90-05-00
credito,2-4-25-35-00-00
credito,2-4-25-22-01-00
credito,2-4-25-35-00-00
credito,2-4-25-23-03-00
credito,2-4-25-35-00-00
credito,2-4-25-35-00-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-25-23-01-00
credito,2-4-55-90-05-00
credito,2-4-25-22-01-00
credito,2-4-25-35-00-00
credito,2-4-25-90-06-01
credito,2-4-25-21-01-00
credito,2-4-25-24-01-00
credito,5-1-02-02-00-00
credito,2-4-25-46-01-00
